"filename", "language", "JavaScript JSX", "JavaScript", "PostCSS", "JSON", "Python", "Properties", "Markdown", "HTML", "YAML", "XML", "Batch", "Database", "Ini", "C++", "C", "reStructuredText", "PowerShell", "pip requirements", "Shell Script", "comment", "blank", "total"
"/Users/hawkpdx/Development/code/project-dev-resume/.history/package_20250823175935.json", "JSON", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 43
"/Users/hawkpdx/Development/code/project-dev-resume/.history/package_20250823180004.json", "JSON", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 43
"/Users/hawkpdx/Development/code/project-dev-resume/.history/package_20250823180012.json", "JSON", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 43
"/Users/hawkpdx/Development/code/project-dev-resume/.history/railway_20250821150232.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/hawkpdx/Development/code/project-dev-resume/.history/railway_20250821150237.json", "JSON", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/hawkpdx/Development/code/project-dev-resume/.history/railway_20250821152556.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/hawkpdx/Development/code/project-dev-resume/.history/render_20250821150241.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/hawkpdx/Development/code/project-dev-resume/.history/render_20250821150246.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/hawkpdx/Development/code/project-dev-resume/.history/render_20250821150302.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"/Users/hawkpdx/Development/code/project-dev-resume/.history/setup_20250822173439.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/hawkpdx/Development/code/project-dev-resume/.history/setup_20250822173521.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 13, 15, 102
"/Users/hawkpdx/Development/code/project-dev-resume/.history/src/App_20250820151008.css", "PostCSS", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 43
"/Users/hawkpdx/Development/code/project-dev-resume/.history/src/App_20250820151008.jsx", "JavaScript JSX", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"/Users/hawkpdx/Development/code/project-dev-resume/.history/src/App_20250820152123.jsx", "JavaScript JSX", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37
"/Users/hawkpdx/Development/code/project-dev-resume/.history/src/App_20250821141655.jsx", "JavaScript JSX", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 49
"/Users/hawkpdx/Development/code/project-dev-resume/.history/src/App_20250821141734.jsx", "JavaScript JSX", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 54
"/Users/hawkpdx/Development/code/project-dev-resume/.history/src/App_20250821151349.jsx", "JavaScript JSX", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 28
"/Users/hawkpdx/Development/code/project-dev-resume/.history/src/App_20250823180313.jsx", "JavaScript JSX", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"/Users/hawkpdx/Development/code/project-dev-resume/.history/src/App_20250823191043.css", "PostCSS", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 44
"/Users/hawkpdx/Development/code/project-dev-resume/.history/src/App_20250827154313.css", "PostCSS", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 44
"/Users/hawkpdx/Development/code/project-dev-resume/.history/src/App_20250827154326.css", "PostCSS", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 44
"/Users/hawkpdx/Development/code/project-dev-resume/.history/src/App_20250827154358.css", "PostCSS", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 44
"/Users/hawkpdx/Development/code/project-dev-resume/.history/src/App_20250827162425.css", "PostCSS", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 50
"/Users/hawkpdx/Development/code/project-dev-resume/.history/src/App_20250827164437.jsx", "JavaScript JSX", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"/Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/About_20250820152316.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/About_20250820152327.jsx", "JavaScript JSX", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 60
"/Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/About_20250823190909.jsx", "JavaScript JSX", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 60
"/Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/About_20250823190922.jsx", "JavaScript JSX", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 60
"/Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/About_20250823191013.jsx", "JavaScript JSX", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 60
"/Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/About_20250823191014.jsx", "JavaScript JSX", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 60
"/Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/About_20250823201554.jsx", "JavaScript JSX", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 60
"/Users/hawkpdx/Development/code/project-dev-resume/.history/src/components/About_20250823201710.jsx", "JavaScript JSX", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 60
